cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
65.819753, 45.962962, 77.914521, 86.812500, 0.000000
65.784037, 45.880597, 79.371103, 84.772093, 0.000000
65.702078, 45.888888, 79.775683, 82.783908, 0.000000
65.868303, 45.952380, 80.473678, 80.957608, 0.015625
66.008928, 46.114754, 80.634784, 79.345555, 0.000000
66.098557, 46.195652, 81.049098, 77.927380, 0.000000
66.170616, 46.103448, 81.650367, 76.670454, 0.000000
66.050925, 46.161764, 81.740660, 75.477272, 0.000000
66.089485, 46.092592, 82.605584, 74.380681, 0.000000
66.483253, 46.584615, 82.839573, 73.393181, 0.000000
66.523809, 46.574712, 83.120108, 72.448314, 0.011363
66.576271, 46.571428, 83.792622, 71.584090, 0.000000
66.551801, 46.615384, 84.100334, 70.790322, 0.000000
66.530337, 46.550000, 84.807418, 70.027272, 0.000000
66.245145, 46.158536, 85.076426, 69.332558, 0.000000
66.334894, 46.274193, 85.279865, 68.696551, 0.000000
66.742596, 46.836065, 85.879767, 68.097674, 0.000000
66.645238, 46.795918, 86.520195, 67.544047, 0.000000
66.752941, 46.800000, 86.658109, 67.045348, 0.019230
66.706172, 46.741935, 87.043397, 66.580232, 0.033333
66.726829, 46.960000, 87.864746, 66.131707, 0.018867
66.965517, 46.966292, 87.992805, 65.674444, 0.000000
66.562962, 46.593220, 88.407798, 65.238823, 0.000000
66.219806, 46.610169, 88.792489, 64.843181, 0.000000
66.641255, 46.897058, 89.363084, 64.448888, 0.000000
66.877149, 47.000000, 89.954645, 64.089156, 0.000000
66.965853, 46.982456, 90.026890, 63.753658, 0.000000
67.000000, 47.138888, 90.603233, 63.432941, 0.000000
67.096629, 47.076923, 91.007660, 63.105617, 0.000000
66.967980, 46.970588, 91.678192, 62.792592, 0.000000
67.050125, 47.200000, 92.175671, 62.511494, 0.000000
67.159313, 47.158536, 92.141548, 62.232530, 0.000000
67.242424, 47.342857, 92.628921, 61.971428, 0.000000
67.103211, 47.212765, 93.107867, 61.709090, 0.000000
67.103365, 47.348837, 93.781479, 61.470786, 0.000000
67.558086, 47.700000, 94.148684, 61.218681, 0.000000
67.220902, 47.600000, 94.475212, 60.986904, 0.000000
67.255707, 47.519230, 94.851842, 60.781927, 0.000000
67.314606, 47.716666, 94.623988, 60.566666, 0.000000
67.176334, 47.541666, 94.444354, 60.351724, 0.000000
67.000000, 47.054545, 94.357636, 60.167441, 0.000000
66.992424, 47.317073, 93.724119, 59.993902, 0.050000
67.004504, 47.365079, 94.027447, 59.805617, 0.000000
67.007194, 47.187500, 94.052960, 59.640000, 0.000000
67.188073, 47.953125, 94.076212, 59.457954, 0.000000
67.279279, 47.535714, 93.971552, 59.292045, 0.000000
67.011135, 47.384615, 93.904645, 59.133695, 0.000000
66.978971, 47.135135, 93.661100, 58.960975, 0.000000
66.961165, 47.205128, 94.289702, 58.832941, 0.000000
67.061124, 47.352941, 94.310128, 58.684705, 0.000000
67.102941, 47.641025, 94.310345, 58.555000, 0.000000
67.223557, 47.711864, 93.818011, 58.429885, 0.000000
66.995145, 46.903846, 94.134054, 58.289285, 0.000000
67.009546, 47.150943, 94.388152, 58.164285, 0.000000
67.107913, 47.368421, 94.786489, 58.047126, 0.000000
67.548780, 47.729166, 94.854717, 57.932558, 0.000000
67.133949, 47.585365, 93.658130, 57.815909, 0.000000
67.447867, 47.854545, 93.702371, 57.697701, 0.000000
67.349887, 47.238095, 94.140317, 57.578160, 0.000000
67.350119, 47.914285, 93.865828, 57.470454, 0.000000
67.495098, 47.611111, 93.944452, 57.364705, 0.000000
67.085784, 47.585365, 94.429571, 57.263095, 0.000000
67.075342, 47.232558, 94.521246, 57.159550, 0.000000
65.992974, 45.888888, 94.262934, 57.067058, 0.000000
65.241784, 45.626865, 93.712386, 56.968181, 0.000000
65.534939, 45.671875, 94.120290, 56.874698, 0.000000
64.858823, 44.709090, 94.301119, 56.791954, 0.000000
64.231651, 44.000000, 94.057419, 56.700000, 0.000000
64.046255, 43.967741, 93.894111, 56.604545, 0.000000
63.359223, 43.150000, 93.733875, 56.525301, 0.000000
63.543589, 43.564516, 93.540684, 56.459756, 0.000000
63.949541, 43.887096, 94.286146, 56.375824, 0.000000
63.535147, 43.425925, 93.893097, 56.300000, 0.000000
63.926540, 43.833333, 93.650519, 56.200000, 0.000000
63.154613, 42.940000, 93.894462, 56.141463, 0.000000
64.707196, 45.020833, 93.998869, 56.089285, 0.020000
63.806378, 43.423728, 94.483350, 56.000000, 0.000000
63.907801, 44.111111, 94.582770, 55.916279, 0.000000
64.706855, 44.937500, 94.455100, 55.864444, 0.000000
64.657534, 44.535714, 94.962722, 55.800000, 0.000000
64.970074, 44.972972, 94.536298, 55.711494, 0.000000
64.844124, 44.964285, 94.270789, 55.680722, 0.000000
65.050000, 45.393939, 93.748019, 55.600000, 0.000000
65.004854, 45.000000, 94.043569, 55.533333, 0.000000
64.600985, 44.738095, 94.531054, 55.500000, 0.000000
64.014527, 43.746835, 94.151450, 55.410465, 0.000000
63.984848, 43.827160, 93.493770, 55.373255, 0.000000
63.772182, 43.847457, 94.256561, 55.300000, 0.017241
63.709183, 43.794117, 93.739214, 55.251851, 0.000000
63.370813, 43.094339, 94.103645, 55.200000, 0.000000
63.897810, 43.741379, 93.547232, 55.143209, 0.000000
63.519362, 43.065573, 94.136389, 55.100000, 0.000000
64.445754, 44.200000, 94.417494, 55.022988, 0.000000
63.314903, 42.971428, 94.344460, 55.000000, 0.000000
63.237980, 43.203703, 93.905381, 54.915853, 0.000000
64.573059, 44.796610, 94.007520, 54.900000, 0.000000
63.508515, 43.400000, 94.137769, 54.806976, 0.000000
64.413965, 44.803921, 94.489736, 54.800000, 0.000000
63.759213, 44.137931, 94.354412, 54.721686, 0.000000
64.187643, 44.558441, 92.664937, 54.700000, 0.013698
