cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
65.847010, 45.282205, 34.476909, 76.379498, 0.367010
65.249232, 45.058022, 34.656372, 75.351182, 0.538884
65.657184, 45.643981, 34.653173, 74.400232, 0.300043
65.726368, 45.665435, 34.821811, 73.535160, 0.432162
65.641908, 45.642163, 34.885786, 72.723854, 0.342556
65.621318, 45.603160, 34.997952, 71.953778, 0.393973
65.915875, 45.594141, 35.077545, 71.239255, 0.401941
65.635977, 45.578274, 35.170289, 70.573847, 0.458780
65.679508, 45.767056, 35.314031, 69.917097, 0.272424
65.691438, 45.703182, 35.388199, 69.294274, 0.297373
65.746183, 45.747496, 35.449433, 68.726134, 0.373262
65.730107, 45.577348, 35.575321, 68.213722, 0.426665
65.717930, 45.809891, 35.647798, 67.712862, 0.380988
65.815601, 45.885858, 35.768394, 67.230898, 0.266239
65.850771, 45.941445, 35.862732, 66.787029, 0.312080
65.818692, 45.769394, 35.967822, 66.378297, 0.384502
65.791379, 45.738664, 36.056448, 65.985120, 0.362774
65.682811, 45.824168, 36.134359, 65.603679, 0.325125
65.682141, 45.657647, 36.228965, 65.236120, 0.356874
65.611836, 45.635037, 36.317963, 64.888229, 0.288653
65.700581, 45.629472, 36.411248, 64.558240, 0.519473
65.561802, 45.519050, 36.529253, 64.250685, 0.423367
65.812756, 45.747630, 36.600333, 63.954970, 0.409094
65.544907, 45.646662, 36.727823, 63.667442, 0.450504
65.482615, 45.772544, 36.822480, 63.388923, 0.378867
65.797456, 45.932515, 36.902747, 63.124146, 0.463179
65.737969, 45.906620, 36.972396, 62.876580, 0.440681
65.619432, 45.856611, 37.084156, 62.637888, 0.372012
65.690142, 45.806890, 37.203162, 62.406472, 0.282893
65.696474, 45.908737, 37.312038, 62.176371, 0.260509
65.704414, 45.806670, 37.327468, 61.961593, 0.289950
65.679224, 45.811254, 37.465141, 61.742167, 0.353917
65.581428, 45.874236, 37.583883, 61.541087, 0.408889
65.721098, 45.886455, 37.657545, 61.347767, 0.349239
65.689898, 45.772790, 37.704036, 61.159326, 0.407777
65.536951, 45.774175, 37.834146, 60.979458, 0.379944
65.587568, 45.800609, 37.913356, 60.797721, 0.250644
65.689938, 45.633452, 38.017226, 60.620505, 0.466633
65.517711, 45.367104, 38.129121, 60.463603, 0.560313
65.491893, 45.352948, 38.208835, 60.309302, 0.406082
65.581285, 45.677186, 38.263057, 60.145594, 0.293267
65.722824, 45.672972, 38.347916, 60.001459, 0.477172
65.737891, 45.668048, 38.432770, 59.860818, 0.417615
65.779757, 45.829176, 38.536084, 59.719160, 0.302764
65.839095, 45.871457, 38.649629, 59.586918, 0.364309
65.905292, 45.950927, 38.722766, 59.443724, 0.285618
65.980205, 45.964972, 38.820864, 59.307889, 0.291266
65.939672, 45.833810, 38.906096, 59.181950, 0.399932
65.860380, 45.736291, 39.005041, 59.065740, 0.403777
65.897938, 45.797202, 39.095299, 58.952916, 0.369740
65.831379, 45.696610, 39.192959, 58.839546, 0.394850
65.759560, 45.768859, 39.264558, 58.727365, 0.348840
65.661554, 45.578992, 39.381312, 58.614439, 0.385938
65.606617, 45.546100, 39.473460, 58.506558, 0.391536
65.672137, 45.771490, 39.562302, 58.402387, 0.271198
65.777701, 45.858421, 39.638514, 58.298659, 0.268354
65.726239, 45.947906, 39.729911, 58.198340, 0.264148
65.738571, 45.933934, 39.796376, 58.096150, 0.448226
65.602954, 45.922617, 39.891289, 57.998718, 0.445687
65.516401, 45.860623, 40.020423, 57.900352, 0.389312
65.569931, 45.613320, 40.125491, 57.807590, 0.398227
65.583445, 45.514544, 40.214474, 57.718844, 0.502600
65.666869, 45.683540, 40.242851, 57.632849, 0.494364
65.744757, 45.743864, 40.330061, 57.547956, 0.608760
65.743206, 45.769639, 40.432909, 57.464477, 0.503496
65.738566, 45.857281, 40.519692, 57.381396, 0.309914
65.734869, 45.883178, 40.607820, 57.303238, 0.257842
65.690223, 45.845696, 40.713687, 57.228545, 0.315000
65.620341, 45.806721, 40.805424, 57.153426, 0.329046
65.605867, 45.632526, 40.898540, 57.077593, 0.335774
65.580198, 45.339068, 41.030415, 57.003826, 0.547891
65.380982, 45.159793, 41.099749, 56.932893, 0.521476
65.328174, 45.150248, 41.179621, 56.866011, 0.349186
65.334784, 45.253101, 41.260601, 56.800018, 0.382215
65.374188, 45.425850, 41.349469, 56.731768, 0.424500
65.592260, 45.710154, 41.442478, 56.661362, 0.275405
65.597585, 45.657652, 41.546146, 56.601433, 0.357171
65.521659, 45.537178, 41.610521, 56.539169, 0.409187
65.706030, 45.744857, 41.709033, 56.475188, 0.435727
65.720233, 45.582953, 41.825838, 56.418988, 0.450118
65.667056, 45.603079, 41.892475, 56.368671, 0.390232
65.635157, 45.733973, 41.976431, 56.310327, 0.380982
65.449171, 45.545068, 42.090134, 56.256075, 0.354566
65.442629, 45.622005, 42.199293, 56.193886, 0.348965
65.507734, 45.634354, 42.276497, 56.140785, 0.416228
65.607687, 45.625752, 42.344741, 56.089281, 0.437751
65.646581, 45.714160, 42.415761, 56.040512, 0.385968
65.636761, 45.771274, 42.537220, 55.987389, 0.397727
65.746231, 45.860200, 42.601121, 55.936439, 0.303951
65.936436, 45.947249, 42.676567, 55.891384, 0.258724
65.937569, 45.883982, 42.781308, 55.841336, 0.440300
65.714937, 45.768252, 42.895634, 55.798169, 0.431882
65.734290, 45.786211, 42.992287, 55.751595, 0.402383
65.922090, 45.871112, 43.098386, 55.701344, 0.417239
65.938931, 45.908008, 43.174907, 55.666087, 0.366484
65.921043, 45.900765, 43.244886, 55.611415, 0.470302
65.950197, 45.912040, 43.319212, 55.579238, 0.501982
65.844344, 45.831665, 43.405711, 55.524800, 0.505046
65.730515, 45.725289, 43.365595, 55.492233, 0.490472
65.669414, 45.431946, 42.610373, 55.458304, 0.574068
